iter	Passed	Remaining
0	140	140005
1	142	71082
2	144	47989
3	146	36360
4	147	29382
5	149	24732
6	151	21466
7	153	18984
8	155	17069
9	157	15556
10	159	14298
11	160	13230
12	162	12326
13	164	11551
14	165	10877
15	167	10320
16	169	9821
17	171	9366
18	173	8952
19	175	8576
20	176	8235
21	178	7927
22	179	7641
23	181	7367
24	182	7117
25	183	6892
26	185	6680
27	186	6474
28	187	6283
29	188	6105
30	189	5937
31	191	5780
32	192	5633
33	193	5497
34	194	5367
35	195	5245
36	197	5134
37	199	5040
38	200	4939
39	201	4839
40	202	4743
41	203	4651
42	205	4564
43	206	4480
44	207	4401
45	208	4324
46	209	4253
47	210	4182
48	212	4115
49	213	4060
50	214	3998
51	216	3939
52	217	3882
53	218	3834
54	220	3780
55	221	3726
56	222	3673
57	223	3622
58	224	3575
59	225	3530
60	226	3493
61	228	3450
62	229	3408
63	230	3366
64	231	3325
65	232	3285
66	233	3246
67	234	3209
68	235	3173
69	236	3137
70	237	3102
71	238	3069
72	239	3036
73	240	3007
74	241	2983
75	243	2954
76	244	2926
77	245	2898
78	246	2869
79	247	2841
80	248	2814
81	249	2788
82	249	2757
83	250	2732
84	251	2709
85	252	2686
86	253	2662
87	254	2640
88	256	2620
89	257	2603
90	258	2583
91	259	2562
92	260	2541
93	261	2521
94	262	2501
95	263	2482
96	264	2462
97	265	2443
98	266	2425
99	267	2407
100	268	2389
101	269	2373
102	270	2358
103	272	2347
104	273	2331
105	274	2315
106	275	2299
107	276	2284
108	277	2268
109	278	2253
110	279	2238
111	280	2223
112	281	2209
113	282	2197
114	283	2184
115	285	2172
116	286	2158
117	287	2147
118	288	2134
119	289	2122
120	290	2109
121	291	2095
122	292	2083
123	293	2071
124	294	2059
125	295	2048
126	296	2036
127	297	2027
128	298	2018
129	300	2008
130	301	2001
131	302	1991
132	303	1981
133	305	1971
134	306	1963
135	307	1955
136	309	1946
137	310	1936
138	311	1926
139	312	1917
140	313	1907
141	313	1896
142	315	1888
143	316	1883
144	317	1874
145	318	1865
146	319	1856
147	320	1847
148	321	1838
149	322	1830
150	324	1822
151	325	1814
152	326	1807
153	327	1798
154	328	1790
155	329	1783
156	331	1779
157	332	1771
158	333	1764
159	334	1756
160	335	1747
161	336	1739
162	337	1732
163	338	1725
164	339	1717
165	340	1710
166	341	1703
167	342	1695
168	343	1688
169	344	1682
170	346	1678
171	347	1672
172	348	1665
173	349	1659
174	350	1652
175	351	1645
176	352	1639
177	353	1633
178	354	1626
179	355	1620
180	356	1614
181	357	1607
182	358	1601
183	359	1596
184	361	1592
185	362	1586
186	363	1580
187	364	1575
188	365	1569
189	366	1563
190	367	1558
191	368	1552
192	370	1547
193	371	1543
194	372	1538
195	374	1534
196	375	1532
197	377	1528
198	378	1523
199	379	1518
200	380	1513
201	381	1508
202	382	1502
203	383	1497
204	384	1492
205	385	1486
206	386	1481
207	387	1476
208	389	1472
209	390	1470
210	392	1466
211	393	1461
212	394	1456
213	395	1452
214	396	1447
215	397	1442
216	398	1437
217	399	1432
218	400	1427
219	401	1423
220	402	1418
221	403	1413
222	404	1409
223	405	1405
224	406	1400
225	407	1396
226	408	1392
227	410	1388
228	411	1386
229	412	1382
230	413	1377
231	414	1373
232	415	1368
233	416	1364
234	417	1360
235	419	1356
236	420	1353
237	421	1350
238	422	1346
239	423	1342
240	424	1338
241	425	1333
242	426	1329
243	427	1325
244	428	1321
245	429	1317
246	431	1314
247	432	1310
248	433	1306
249	434	1303
250	436	1303
251	438	1300
252	439	1297
253	440	1294
254	442	1291
255	443	1288
256	444	1285
257	445	1282
258	447	1279
259	448	1277
260	450	1274
261	451	1270
262	452	1267
263	453	1264
264	454	1261
265	456	1258
266	457	1255
267	458	1252
268	459	1249
269	461	1246
270	462	1243
271	464	1242
272	465	1239
273	466	1236
274	469	1236
275	470	1235
276	472	1234
277	474	1231
278	475	1228
279	476	1225
280	478	1224
281	480	1223
282	481	1220
283	483	1218
284	484	1216
285	486	1214
286	488	1213
287	489	1210
288	490	1207
289	491	1204
290	493	1201
291	494	1200
292	496	1198
293	497	1195
294	498	1191
295	499	1188
296	500	1185
297	501	1182
298	502	1179
299	503	1175
300	504	1172
301	505	1169
302	506	1166
303	509	1166
304	511	1164
305	512	1161
306	513	1158
307	514	1155
308	515	1152
309	516	1149
310	517	1146
311	518	1142
312	519	1139
313	520	1136
314	521	1133
315	522	1130
316	523	1128
317	525	1126
318	526	1123
319	527	1120
320	528	1117
321	529	1114
322	530	1111
323	531	1108
324	532	1105
325	533	1102
326	534	1099
327	535	1096
328	536	1094
329	537	1092
330	539	1090
331	540	1088
332	541	1085
333	542	1082
334	543	1079
335	544	1076
336	546	1074
337	547	1071
338	548	1068
339	549	1065
340	550	1063
341	551	1060
342	552	1058
343	554	1056
344	555	1054
345	556	1051
346	557	1048
347	558	1045
348	559	1043
349	560	1040
350	561	1037
351	562	1035
352	563	1032
353	564	1029
354	565	1027
355	566	1024
356	568	1023
357	569	1021
358	571	1019
359	572	1017
360	573	1015
361	574	1013
362	576	1011
363	577	1009
364	579	1007
365	580	1005
366	581	1002
367	583	1001
368	584	999
369	585	997
370	586	995
371	587	992
372	589	990
373	590	988
374	591	985
375	592	983
376	593	980
377	594	977
378	595	975
379	596	972
380	597	971
381	599	969
382	600	967
383	601	964
384	602	962
385	603	959
386	604	957
387	605	955
388	606	952
389	607	950
390	608	947
391	609	945
392	610	942
393	611	940
394	613	939
395	614	936
396	615	934
397	616	932
398	617	929
399	618	927
400	619	925
401	620	922
402	621	920
403	622	918
404	623	916
405	624	914
406	625	911
407	627	911
408	630	910
409	631	909
410	633	908
411	635	907
412	637	906
413	639	905
414	641	903
415	643	903
416	646	903
417	647	902
418	649	900
419	650	898
420	652	897
421	654	895
422	655	894
423	657	892
424	659	892
425	660	890
426	662	888
427	663	887
428	665	885
429	666	884
430	668	882
431	669	880
432	671	879
433	675	880
434	676	879
435	678	877
436	679	875
437	681	874
438	683	873
439	684	871
440	685	869
441	688	868
442	689	867
443	691	866
444	693	864
445	694	863
446	696	861
447	697	859
448	698	857
449	699	855
450	701	853
451	702	851
452	704	850
453	705	848
454	706	846
455	708	845
456	709	843
457	711	841
458	712	839
459	713	837
460	715	836
461	718	836
462	719	834
463	720	832
464	722	831
465	723	829
466	725	827
467	726	825
468	727	824
469	729	822
470	730	820
471	732	819
472	733	817
473	735	815
474	736	814
475	738	812
476	739	811
477	741	809
478	743	808
479	745	807
480	747	806
481	750	806
482	751	804
483	753	802
484	756	802
485	757	801
486	758	799
487	762	799
488	764	798
489	765	797
490	767	795
491	769	794
492	770	792
493	772	791
494	774	789
495	777	789
496	778	788
497	781	787
498	783	786
499	785	785
500	788	785
501	791	784
502	793	783
503	794	782
504	796	780
505	797	778
506	798	776
507	800	775
508	801	773
509	803	771
510	805	770
511	806	769
512	808	767
513	809	765
514	811	764
515	812	762
516	814	760
517	815	759
518	817	757
519	819	756
520	821	755
521	822	753
522	824	751
523	825	750
524	827	748
525	828	746
526	830	745
527	831	743
528	833	741
529	835	740
530	837	739
531	838	737
532	840	736
533	841	734
534	842	732
535	844	730
536	845	728
537	846	726
538	847	724
539	849	723
540	850	721
541	851	719
542	852	717
543	853	715
544	855	713
545	856	712
546	858	710
547	859	708
548	860	707
549	861	705
550	862	703
551	864	701
552	866	700
553	867	698
554	868	696
555	870	694
556	871	692
557	872	690
558	873	688
559	874	686
560	875	685
561	876	683
562	877	681
563	879	679
564	880	678
565	882	676
566	883	674
567	884	672
568	886	671
569	887	669
570	888	667
571	889	665
572	891	663
573	892	662
574	894	661
575	895	659
576	897	657
577	898	656
578	900	654
579	901	652
580	902	650
581	904	649
582	906	648
583	908	646
584	910	645
585	911	643
586	912	641
587	913	639
588	914	638
589	915	636
590	917	634
591	918	632
592	919	630
593	920	629
594	921	627
595	922	625
596	924	623
597	925	622
598	926	620
